Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василевич,Емілія,Анатоліївна,Жіноча,1982-11-09,Єгер,село Куп'янськ,"набережна Пейзажна, буд. 1 кв. 414, Кілія, 24469",007 982 20 94,vlevchenko@example.org
Ванченко,Олександр,Олександрович,Чоловіча,2011-07-12,Детектив,хутір Бобринець,"провулок Паркова, буд. 622, Дніпрорудне, 76646",+380 68 357 20 57,habelkomykhailo@example.org
Тиха,Едита,Михайлівна,Жіноча,1968-08-12,Науковець,село Багачеве,"парк Стороженка Олега, буд. 022 кв. 390, Джанкой, 48243",+380 15 126 80 36,taras12@example.org
Орлик,Михайло,Васильович,Чоловіча,1994-05-23,Машиніст,хутір Дунаївці,"провулок Житомирський 4-й, буд. 8, Мерефа, 06498",+380 86 440-94-53,okseniiapavlychenko@example.com
Ґереґа,Еріка,Петрівна,Жіноча,2005-05-24,Соціолог,селище Решетилівка,"шосе Учнівська, буд. 783, Тернівка, 76533",+380 (32) 855-05-64,adashablii@example.com
Дерегус,Гордій,Олександрович,Чоловіча,1997-08-17,Футболіст,селище Антрацит,"провулок Соціальна, буд. 19 кв. 25, Кремінна, 80229",+380 (80) 255-34-95,tbabiuk@example.com
Фаренюк,Галина,Василівна,Жіноча,1962-02-24,Бізнесмен,хутір Новоукраїнка,"провулок 4-та Лінія Марії Демченко, буд. 204 кв. 435, Петрово-Красносілля, 21063",318 00 51,zynoviizhaivoron@example.com
Єресько,Марʼяна,Вікторівна,Жіноча,1954-10-07,Промисловець,хутір Коростишів,"узвіз Селекційний, буд. 4 кв. 128, Бурштин, 85903",+380 39 557 46 52,lukian27@example.com
Шаблій,Олена,Олександрівна,Жіноча,1958-06-29,Парфюмер,місто Яготин,"парк Князівський, буд. 3, Нова Одеса, 31658",+380 15 707-17-15,avdieienkoklyment@example.org
Михалюк,Аніта,Вікторівна,Жіноча,1960-03-28,Режисер,село Докучаєвськ,"провулок Лінія 30-та, буд. 239, Судова Вишня, 97053",366-49-04,kamilla14@example.org
Ярема,Андрій,Романович,Чоловіча,1960-02-08,Гірник,місто Буринь,"сквер Бутишів, буд. 91 кв. 375, Глухів, 87511",941 56 85,ndrobiazko@example.com
Їжак,Яків,Юрійович,Чоловіча,1965-09-19,Кінолог,село Батурин,"узвіз Віри Інбер, буд. 453 кв. 08, Приморськ, 24040",511 00 08,makarhaidenko@example.org
Конопленко,Марина,Сергіївна,Жіноча,1991-08-26,Провізор,хутір Липовець,"провулок Костанді, буд. 9, Ківерці, 82272",+380 79 947 23 24,ivan71@example.net
Ващук,Єва,Богданівна,Жіноча,1987-01-09,Швачка,селище Красноперекопськ,"набережна Осипова, буд. 5, Бобровиця, 31524",068 745-81-04,terezaivashchenko@example.com
Дейнеко,Наталія,Степанівна,Жіноча,1998-11-02,М'ясник,хутір Лиман,"сквер Деволанівський узвіз, буд. 2, Каховка, 59066",083 942-65-78,vatamaniukmyroslav@example.net
Шило,Стефан,Дмитрович,Чоловіча,1948-12-05,Золотар,місто Хрустальний,"шосе Севастопольський, буд. 257 кв. 932, Миколаїв, 28123",905 32 58,symon51@example.org
Аврамчук,Олег,Михайлович,Чоловіча,1970-10-10,Астрофізик,хутір Златопіль,"парк Андросовський, буд. 8, Кремінна, 18422",+380 (71) 532-03-00,liubov30@example.com
Заїка,Григорій,Миколайович,Чоловіча,1965-10-30,Математик,хутір Білопілля,"площа Дубовий гай, буд. 06, Носівка, 68466",033 929 38 27,martyn48@example.net
Валенко,Аніта,Анатоліївна,Жіноча,1978-11-15,Епідеміолог,місто Мирноград,"парк Осипова, буд. 61 кв. 062, Лебедин, 40950",470-54-85,kamilla75@example.org
Ґерета,Алевтин,Володимирович,Чоловіча,1956-01-28,Скульптор,хутір Сквира,"площа Лобачевського, буд. 530 кв. 7, Красногорівка, 76035",212-45-22,nataliiaviter@example.com
Левченко,Вадим,Васильович,Чоловіча,1977-08-21,Редактор,місто Єнакієве,"провулок Восьмого березня 8-й, буд. 436 кв. 268, Комарно, 77217",077 062-58-57,panteleimon89@example.org
Таран,Борислав,Юрійович,Чоловіча,2002-12-28,Різноробочий,село Чистякове,"площа Кременецький, буд. 687, Гребінка, 09173",+380 57 123-29-55,zhadaniustyna@example.com
Вакарчук,Богданна,Олександрівна,Жіноча,2002-03-14,Ювелір,селище Полтава,"парк Зелена, буд. 387 кв. 5, Сватове, 71422",+380 (82) 042-11-09,holoborodkomykyta@example.net
Ґалаґан,Валентина,Романівна,Жіноча,2010-09-25,Геолог,селище Новгород-Сіверський,"вулиця Сергія Єфремова, буд. 9 кв. 07, Балта, 49301",+380 (65) 853-46-89,arubets@example.net
Даньків,Леопольд,Олексійович,Чоловіча,1987-10-12,Гицель,селище Зоринськ,"узвіз Каховський, буд. 2, Гадяч, 51098",+380 23 454 88 26,tryhubviktoriia@example.net
Охріменко,Демид,Степанович,Чоловіча,1963-07-19,Євнух,селище Щолкіне,"сквер Бандурний, буд. 128 кв. 2, Борзна, 31707",059 210-11-22,nalyvaikoalbina@example.org
Ільєнко,Левко,Дмитрович,Чоловіча,1950-07-31,Модель,місто Ірміно,"парк Флотський 3-й, буд. 89 кв. 94, Малин, 84031",044 816-71-73,nshutko@example.com
Усик,Борислав,Васильович,Чоловіча,2004-03-21,Реабілітолог,місто Лубни,"площа Байкал тупик, буд. 76, Добромиль, 06964",+380 26 322-78-04,kamillababarychenko@example.net
Пʼятаченко,Надія,Андріївна,Жіноча,1958-03-30,Електромонтер,хутір Білозерське,"сквер Отамана Головатого, буд. 07, Боярка, 68634",748-66-51,havrylo31@example.com
Величко,Пантелеймон,Тарасович,Чоловіча,2010-11-30,Детектив,селище Рожище,"шосе Митна, буд. 32, Дубляни, 56764",+380 39 289-87-16,derkachkhrystyna@example.com
Дрозд,Богуслава,Сергіївна,Жіноча,1988-08-16,Детектив,село Тиврів,"провулок Деревообробний 1-й, буд. 891, Боково-Хрустальне, 85436",071 231 13 16,klymenthavryshkevych@example.com
Юрченко,Володимира,Григорівна,Жіноча,1990-06-01,Флорист,хутір Радивилів,"проспект Кінбурнський, буд. 6 кв. 10, Пирятин, 42265",624 82 01,kovalenkoliubov@example.org
Фоменко,Олесь,Анатолійович,Чоловіча,2001-09-23,Епідеміолог,хутір Здолбунів,"провулок Тараса Кузьміна, буд. 648 кв. 4, Канів, 50122",056 107-79-74,derhachvalerii@example.org
Яремчук,Ігнат,Андрійович,Чоловіча,1990-09-02,Епідеміолог,хутір Сторожинець,"провулок Скидановський узвіз, буд. 4, Щастя, 49852",659-86-93,demianrudko@example.org
Бандера,Олекса,Андрійович,Чоловіча,1974-01-19,М'ясник,село Сніжне,"площа Геологічна, буд. 70, Антрацит, 54969",760 83 13,avalenko@example.org
